Margin,Total,ID,index,County Name,County Code,Precinct name,Precinct Code,2022 Congressional,2020 Congressional,Legislative,McClellan - GLC,Reisdorf - LMN,Finstad - R,Ettinger - DFL,Write In
0,,080090,74,Brown,8,NEW ULM W-2 P-1,0090,1,1,15B,,,,,
0,,080095,75,Brown,8,NEW ULM W-2 P-2,0095,1,1,15B,,,,,
0,,080100,76,Brown,8,NEW ULM W-3 P-1,0100,1,1,15B,,,,,
0,,080105,77,Brown,8,NEW ULM W-3 P-2,0105,1,1,15B,,,,,
0,,080110,78,Brown,8,NEW ULM W-4 P-1,0110,1,1,15B,,,,,
0,,080115,79,Brown,8,NEW ULM W-4 P-2,0115,1,1,15B,,,,,
0,,080120,80,Brown,8,NORTH STAR TWP,0120,7,1,15B,,,,,
0,,080125,81,Brown,8,PRAIRIEVILLE TWP P-1,0125,1,1,15B,,,,,
0,,080127,82,Brown,8,PRAIRIEVILLE TWP P-7,0127,7,1,15B,,,,,
0,,080130,83,Brown,8,SIGEL TWP,0130,1,1,15B,,,,,
0,,080135,84,Brown,8,SLEEPY EYE W-1,0135,1,1,15B,,,,,
0,,080140,85,Brown,8,SLEEPY EYE W-2,0140,1,1,15B,,,,,
0,,080145,86,Brown,8,SPRINGFIELD W-1,0145,7,1,15B,,,,,
0,,080150,87,Brown,8,SPRINGFIELD W-2,0150,7,1,15B,,,,,
0,,080155,88,Brown,8,STARK TWP,0155,1,1,15B,,,,,
0,,080160,89,Brown,8,STATELY TWP,0160,7,1,15B,,,,,
0,6,170020,90,Cottonwood,17,BINGHAM LAKE,0020,7,1,21B,1,1,1,3,0
0,28,170025,91,Cottonwood,17,CARSON TWP,0025,7,1,21A,0,0,24,4,0
0,3,170030,92,Cottonwood,17,COMFREY,0030,7,1,21A,0,0,3,0,0
0,21,170040,93,Cottonwood,17,DELTON TWP,0040,7,1,21A,0,0,18,3,0
0,4,170045,94,Cottonwood,17,GERMANTOWN TWP P-1,0045,7,1,21A,0,0,4,0,0
0,38,170065,95,Cottonwood,17,LAKESIDE TWP,0065,7,1,21B,1,0,26,11,0
0,41,170070,96,Cottonwood,17,MIDWAY TWP,0070,7,1,21A,0,0,30,11,0
0,192,170075,97,Cottonwood,17,MOUNTAIN LAKE P-1,0075,7,1,21A,3,0,151,34,4
0,38,170085,98,Cottonwood,17,MOUNTAIN LAKE TWP,0085,7,1,21B,0,0,34,3,1
0,38,170095,99,Cottonwood,17,SELMA TWP,0095,7,1,21A,0,0,31,6,1
0,,200005,100,Dodge,20,ASHLAND TWP.,0005,1,1,24A,,,,,
0,,200007,101,Dodge,20,BYRON P-2,0007,1,1,24A,,,,,
0,,200010,102,Dodge,20,CANISTEO TWP.,0010,1,1,24A,,,,,
0,,200015,103,Dodge,20,CLAREMONT,0015,1,1,24A,,,,,
0,,200020,104,Dodge,20,CLAREMONT TWP.,0020,1,1,24A,,,,,
0,,200025,105,Dodge,20,CONCORD TWP.,0025,1,1,24A,,,,,
0,,200030,106,Dodge,20,DODGE CENTER P-1,0030,1,1,24A,,,,,
0,,200032,107,Dodge,20,DODGE CENTER P-2,0032,1,1,24A,,,,,
0,,200035,108,Dodge,20,ELLINGTON TWP.,0035,1,1,24A,,,,,
0,,200040,109,Dodge,20,HAYFIELD,0040,1,1,24A,,,,,
0,,200045,110,Dodge,20,HAYFIELD TWP.,0045,1,1,24A,,,,,
0,,200050,111,Dodge,20,KASSON P-1,0050,1,1,24A,,,,,
0,,200051,112,Dodge,20,KASSON P-2,0051,1,1,24A,,,,,
0,,200052,113,Dodge,20,KASSON P-3,0052,1,1,24A,,,,,
0,,200055,114,Dodge,20,MANTORVILLE,0055,1,1,24A,,,,,
0,,200060,115,Dodge,20,MANTORVILLE TWP.,0060,1,1,24A,,,,,
0,,200065,116,Dodge,20,MILTON TWP.,0065,1,1,24A,,,,,
0,,200070,117,Dodge,20,RIPLEY TWP.,0070,1,1,24A,,,,,
0,,200075,118,Dodge,20,VERNON TWP.,0075,1,1,24A,,,,,
0,,200080,119,Dodge,20,WASIOJA TWP.,0080,1,1,24A,,,,,
0,,200085,120,Dodge,20,WEST CONCORD,0085,1,1,24A,,,,,
0,,200090,121,Dodge,20,WESTFIELD TWP.,0090,1,1,24A,,,,,
0,,220005,122,Faribault,22,BARBER TWP.,0005,1,1,23A,,,,,
0,,220010,123,Faribault,22,BLUE EARTH W-1,0010,1,1,22A,,,,,
0,,220015,124,Faribault,22,BLUE EARTH W-2,0015,1,1,22A,,,,,
0,,220020,125,Faribault,22,BLUE EARTH W-3,0020,1,1,22A,,,,,
0,,220025,126,Faribault,22,BLUE EARTH TWP.,0025,1,1,22A,,,,,
0,,220030,127,Faribault,22,BRICELYN,0030,1,1,23A,,,,,
0,,220035,128,Faribault,22,BRUSH CREEK TWP.,0035,1,1,23A,,,,,
0,,220040,129,Faribault,22,CLARK TWP.,0040,1,1,23A,,,,,
0,,220045,130,Faribault,22,DELAVAN,0045,1,1,22A,,,,,
0,,220050,131,Faribault,22,DELAVAN TWP.,0050,1,1,22A,,,,,
0,,220055,132,Faribault,22,DUNBAR TWP.,0055,1,1,23A,,,,,
0,,220060,133,Faribault,22,EASTON,0060,1,1,23A,,,,,
0,,220065,134,Faribault,22,ELMORE,0065,1,1,23A,,,,,
0,,220070,135,Faribault,22,ELMORE TWP.,0070,1,1,23A,,,,,
0,,220075,136,Faribault,22,EMERALD TWP.,0075,1,1,23A,,,,,
0,,220080,137,Faribault,22,FOSTER TWP.,0080,1,1,23A,,,,,
